eta_center,tx0_mean,tx0_sem
-3.875,0.1746828,0.0009265117944127997
-3.625,0.189674,0.0010045990650658103
-3.375,13.81624,0.7749828710280336
-3.125,69.26165,1.1204467339615316
-2.875,109.63688,0.048506350374149604
-2.625,109.76125,0.02914889018702078
-2.375,110.29948,0.0155185139535329
-2.125,111.6747,0.036715666334262445
-1.875,113.68447,0.04971880217345307
-1.625,122.9534,0.42723713074875697
-1.375,173.84477,0.8266047763597129
-1.125,173.12796,0.5997860210701502
-0.875,148.29405,0.4929864859344795
-0.625,130.77042,0.4317039773312824
-0.375,116.966354,0.3270930424773014
-0.125,109.97467,0.2873494325245079
0.125,109.356186,0.4524182218338205
0.375,116.853294,0.4238492229805652
0.625,131.39505,0.40175715425018516
0.875,148.8093,0.5349364961261378
1.125,173.12726,0.7232803850676875
1.375,171.83275,0.7277555433786198
1.625,123.6208,0.43580481947695443
1.875,113.79415,0.04930983091981413
2.125,111.645134,0.03444171192467618
2.375,110.32742,0.016633326909746077
2.625,109.73303,0.02751648360365472
2.875,109.56986,0.04621041039524146
3.125,66.46808,1.1166706654142908
3.375,15.038493,0.7451921259392362
3.625,0.18927617,0.0011419673629263598
3.875,0.17355855,0.0009460759061523563
